,adsh,company_name,dyrqt,filed,cik,sic,ticker,country,period,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLoss,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllowanceForDoubtfulAccountsReceivableCurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalents,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,CostOfGoodsAndServicesSold,DebtInstrumentCarryingAmount,DeferredFinanceCostsNet,DeferredTaxAssets,DeferredTaxLiabilities,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRate,EmployeeRelatedLiabilitiesCurrent,FinanceLeaseAsset,FinanceLeaseInterestExpense,FinanceLeaseLiability,FinanceLeaseRightOfUseAssetAmortization,GeneralAndAdministrativeExpense,Goodwill,GrossProfit,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssets,InterestExpense,InterestPayableCurrent,InventoryNet,LaborAndRelatedExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LongTermDebtCurrent,MinorityInterest,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseAsset,OperatingLeaseCost,OperatingLeaseLiability,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLoss,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenue,ShareBasedCompensation,Short Term Investments,StockIssuedDuringPeriodValue,StockholdersEquity,SubleaseIncome,TotalLiabilities,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,7_before,7_after,difference,per
0,0000002178-19-000086,"ADAMS RESOURCES & ENERGY, INC.",201902,2019-08-07 00:00:00,2178,5172.0,ae,US,2019-06-30,116983000.0,74499000.0,0.0,97640000.0,0.0,12497000.0,0.0,117000.0,0.0,301764000.0,231307000.0,132546000.0,1016000.0,0.1,7500000.0,423000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284000.0,0.0,0.0,0.0,0.0,0.0,7490000.0,81000.0,7589000.0,456000.0,2582000.0,0.0,0.0,0.0,40000.0,0.0,1936000.0,731000.0,0.0,0.0,0.0,301764000.0,131351000.0,0.0,0.0,0.0,0.0,6000.0,0.0,689000.0,485076000.0,46000.0,10093000.0,4117000.0,11430000.0,0.0,0.0,0.0,9913000.0,0.0,0.0,1.0,960000.0,0.0,0.0,1828000.0,0.0,153195000.0,55555000.0,0.0,137188000.0,484433000.0,74000.0,0.0,0.0,150108000.0,0.0,151656000.0,0.0,0.0,4227000.0,4227000.0,32.51673049926758,32.43537940979004,-0.08135108947754333,-0.002501822545762272
1,0000002488-19-000104,ADVANCED MICRO DEVICES INC,201902,2019-07-31 00:00:00,2488,3674.0,amd,US,2019-06-30,828000000.0,1333000000.0,727000000.0,745000000.0,0.0,9325000000.0,0.0,0.0,0.0,5102000000.0,3754000000.0,968000000.0,0.0,0.01,2250000000.0,11000000.0,0.0,36000000.0,1000000.0,1000000.0,0.0,910000000.0,0.0,14000000.0,0.0,0.0,0.0,201000000.0,0.03,0.03,0.0,170000000.0,0.0,0.0,0.0,0.0,189000000.0,289000000.0,621000000.0,0.0,2000000.0,25000000.0,0.0,25000000.0,0.0,1015000000.0,0.0,5102000000.0,1804000000.0,0.0,1031000000.0,0.0,0.0,35000000.0,0.0,0.0,0.0,59000000.0,212000000.0,13000000.0,307000000.0,0.0,331000000.0,0.0,48000000.0,155000000.0,3000000.0,0.0,0.0,0.0,0.0,248000000.0,0.0,1203000000.0,458000000.0,373000000.0,-7385000000.0,1531000000.0,45000000.0,0.0,0.0,1901000000.0,0.0,0.0,5000000.0,50000000.0,1109000000.0,1084000000.0,33.82999954223633,29.320000457763662,-4.509999084472664,-0.13331360169963902
2,0000002969-19-000042,AIR PRODUCTS & CHEMICALS INC /DE/,201902,2019-07-25 00:00:00,2969,2810.0,apd,US,2019-06-30,1543200000.0,1340700000.0,0.0,11998000000.0,-1781400000.0,1059900000.0,17300000.0,0.0,0.0,19531900000.0,4915200000.0,2696800000.0,255100000.0,1.0,249455584.0,249400000.0,458000000.0,451400000.0,0.0,181100000.0,52800000.0,1466000000.0,0.0,0.0,0.0,823200000.0,0.0,62900000.0,2.21,2.2,0.179,0.0,0.0,0.0,0.0,0.0,188500000.0,820400000.0,0.0,56400000.0,109300000.0,1300000.0,441100000.0,34200000.0,0.0,408300000.0,0.0,19531900000.0,2155200000.0,5650100000.0,0.0,0.0,340500000.0,500200000.0,12200000.0,0.0,0.0,609500000.0,0.0,0.0,0.0,372200000.0,698800000.0,7500000.0,0.0,1553600000.0,17600000.0,0.0,0.0,0.0,0.0,97200000.0,0.0,22425600000.0,10427600000.0,18100000.0,13891900000.0,2224000000.0,9800000.0,0.0,0.0,11726600000.0,0.0,7805300000.0,29100445.0,2033700000.0,221900000.0,220600000.0,224.77427673339844,228.6876373291016,3.913360595703125,0.017410179903925155
3,0000003499-19-000017,ALEXANDERS INC,201902,2019-07-29 00:00:00,3499,6798.0,alx,US,2019-06-30,0.0,0.0,0.0,0.0,-95000.0,32365000.0,0.0,0.0,0.0,1276471000.0,0.0,289322000.0,23028000.0,1.0,10000000.0,5173000.0,0.0,11302000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7869000.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1893000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276471000.0,0.0,0.0,0.0,0.0,0.0,11283000.0,0.0,0.0,31429000.0,0.0,4796000.0,200000.0,6000000.0,0.0,32334000.0,0.0,0.0,8160000.0,0.0,1.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231535000.0,55932000.0,0.0,0.0,0.0,268610000.0,0.0,1007861000.0,66160.0,368000.0,5118030.0,0.0,364.644677734375,361.49561767578126,-3.1490600585937614,-0.008635968796143216
4,0000003545-19-000100,ALICO INC,201902,2019-08-06 00:00:00,3545,100.0,alco,US,2019-06-30,4318000.0,6285000.0,6097000.0,0.0,0.0,19756000.0,0.0,0.0,0.0,399519000.0,44117000.0,10525000.0,448000.0,1.0,15000000.0,8416000.0,0.0,0.0,0.0,0.0,0.0,31561000.0,0.0,1416000.0,0.0,29311000.0,3490000.0,0.0,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0,2682000.0,2246000.0,26004000.0,0.0,5483000.0,1000.0,0.0,0.0,1157000.0,30706000.0,0.0,399519000.0,23353000.0,0.0,166180000.0,5325000.0,5327000.0,16244000.0,-28000.0,-1623000.0,0.0,23322000.0,0.0,0.0,0.0,0.0,2525000.0,0.0,1043000.0,246000.0,8000.0,0.0,1000000.0,0.0,0.0,1521000.0,0.0,0.0,343604000.0,0.0,181989000.0,57565000.0,0.0,0.0,0.0,183283000.0,0.0,216236000.0,946114.0,32205000.0,7471000.0,7470000.0,31.51974754333496,30.789052200317393,-0.7306953430175795,-0.02318214452742625
5,0000003570-19-000073,"CHENIERE ENERGY, INC.",201902,2019-08-08 00:00:00,3570,4924.0,lng,US,2019-06-30,120000000.0,0.0,1572000000.0,0.0,0.0,4097000000.0,0.0,0.0,21600000.0,34572000000.0,4425000000.0,3440000000.0,0.0,0.003,480000000.0,0.0,0.0,0.0,136000000.0,0.0,0.0,1277000000.0,0.0,0.0,0.0,0.0,204000000.0,0.0,-0.44,-0.44,0.0,58000000.0,0.0,0.0,59000000.0,0.0,77000000.0,77000000.0,0.0,0.0,0.0,0.0,0.0,372000000.0,405000000.0,290000000.0,0.0,34572000000.0,2207000000.0,0.0,29944000000.0,0.0,2477000000.0,2000000.0,116000000.0,-430000000.0,1860000000.0,432000000.0,502000000.0,144000000.0,494000000.0,135000000.0,337000000.0,0.0,3000000.0,44000000.0,16000000.0,0.0001,5000000.0,0.0,0.0,0.0,0.0,0.0,29073000000.0,3000000.0,-4129000000.0,2292000000.0,33000000.0,0.0,0.0,2023000000.0,31000000.0,0.0,13000000.0,423000000.0,257400000.0,257400000.0,62.00600051879883,61.34199981689453,-0.6640007019042997,-0.010708652329591707
6,0000004127-19-000041,"SKYWORKS SOLUTIONS, INC.",201902,2019-08-07 00:00:00,4127,3674.0,swks,US,2019-06-30,218900000.0,0.0,0.0,1632400000.0,-7800000.0,3153300000.0,0.0,700000.0,1000000.0,4842300000.0,2206300000.0,742800000.0,65700000.0,0.25,525000000.0,42900000.0,0.0,144400000.0,0.0,0.0,0.0,454500000.0,0.0,0.0,0.0,188600000.0,5500000.0,0.0,0.83,0.83,0.0,85200000.0,0.0,0.0,0.0,0.0,46800000.0,1189800000.0,312500000.0,0.0,17800000.0,800000.0,114100000.0,0.0,0.0,580800000.0,0.0,4842300000.0,396500000.0,0.0,0.0,0.0,0.0,144100000.0,0.0,0.0,152900000.0,161900000.0,0.0,0.0,0.0,132700000.0,33200000.0,-300000.0,92400000.0,30400000.0,2300000.0,0.0,25000000.0,0.0,0.0,0.0,0.0,2862500000.0,1230100000.0,100600000.0,4177100000.0,767000000.0,19000000.0,0.0,0.0,4099900000.0,0.0,742400000.0,0.0,3265600000.0,173400000.0,172600000.0,79.6923828125,78.01249389648437,-1.6798889160156278,-0.021079667299797843
7,0000004281-19-000096,ARCONIC INC.,201902,2019-08-02 00:00:00,4281,3350.0,arnc,US,2019-06-30,2095000000.0,1155000000.0,0.0,7013000000.0,-2869000000.0,7484000000.0,10000000.0,4000000.0,0.0,17913000000.0,6018000000.0,1360000000.0,0.08,0.0,440000000.0,440000000.0,0.0,-30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,568000000.0,0.0,139000000.0,0.0,-0.27,-0.27,0.0,384000000.0,0.0,0.0,0.0,0.0,178000000.0,4500000000.0,0.0,0.0,-74000000.0,0.0,686000000.0,85000000.0,113000000.0,2606000000.0,0.0,17913000000.0,3621000000.0,0.0,6306000000.0,405000000.0,12000000.0,-121000000.0,0.0,-29000000.0,0.0,-81000000.0,277000000.0,37000000.0,348000000.0,0.0,624000000.0,-17000000.0,479000000.0,0.0,-8000000.0,55000000.0,0.0,0.0,0.0,260000000.0,0.0,0.0,5517000000.0,17000000.0,-256000000.0,3691000000.0,17000000.0,0.0,0.0,4866000000.0,0.0,13047000000.0,0.0,0.0,445000000.0,445000000.0,25.05282287597657,24.48935089111329,-0.5634719848632841,-0.0224913570679336
8,0000004457-19-000039,AMERCO /NV/,201902,2019-08-07 00:00:00,4457,7510.0,uhal,US,2019-06-30,0.0,0.0,0.0,2477573000.0,-23873000.0,453535000.0,0.0,0.0,0.0,12474744000.0,0.0,519831000.0,0.0,0.0,0.0,0.0,0.0,175247000.0,0.0,0.0,0.0,48929000.0,0.0,27886000.0,0.0,794168000.0,157278000.0,1092000.0,0.0,0.0,0.0,0.0,73176000.0,8745000.0,948206000.0,50208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101032000.0,0.0,12474744000.0,0.0,0.0,0.0,0.0,0.0,132422000.0,0.0,0.0,865384000.0,213865000.0,1265023000.0,7172000.0,105008000.0,0.0,0.0,53023000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9651143000.0,7173570000.0,0.0,4109384000.0,1079249000.0,0.0,2310239000.0,0.0,3869023000.0,0.0,8605721000.0,0.0,0.0,19597697.0,0.0,369.2428771972656,355.61195678710936,-13.63092041015625,-0.03691586555066848
9,0000004962-19-000051,AMERICAN EXPRESS CO,201902,2019-07-23 00:00:00,4962,6199.0,axp,US,2019-06-30,16518000000.0,0.0,0.0,6581000000.0,-2606000000.0,11980000000.0,0.0,616000000.0,0.0,197603000000.0,0.0,27332000000.0,327000000.0,0.2,3600000000.0,167000000.0,0.0,1754000000.0,0.0,713000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.07,0.20600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,0.0,7758000000.0,0.0,0.0,1367000000.0,197603000000.0,0.0,0.0,57736000000.0,0.0,0.0,1761000000.0,0.0,0.0,0.0,2219000000.0,0.0,0.0,0.0,0.0,11148000000.0,42000000.0,0.0,22826000000.0,0.0,1.6669999999999998,20000000.0,1600.0,1600.0,0.0,512000000.0,0.0,4658000000.0,0.0,13551000000.0,7080000000.0,0.0,8457000000.0,0.0,23092000000.0,0.0,174511000000.0,0.0,0.0,836000000.0,834000000.0,126.38860931396485,126.96839294433592,0.5797836303710824,0.004587309200711503
10,0000005513-19-000122,UNUM GROUP,201902,2019-07-31 00:00:00,5513,6321.0,unm,US,2019-06-30,0.0,0.0,0.0,0.0,-242500000.0,2335600000.0,0.0,0.0,1200000.0,65843700000.0,0.0,60800000.0,0.0,0.1,725000000.0,30600000.0,0.0,541000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000000.0,0.0,0.0,1.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350100000.0,0.0,0.0,70800000.0,0.0,0.0,0.0,0.0,0.0,223900000.0,65843700000.0,0.0,0.0,0.0,0.0,0.0,281200000.0,0.0,0.0,0.0,352000000.0,111500000.0,7100000.0,140300000.0,0.0,908000000.0,259800000.0,0.0,1827200000.0,0.0,0.1,25000000.0,0.0,0.0,0.0,0.0,0.0,556100000.0,0.0,10308900000.0,3016700000.0,0.0,46440200000.0,0.0,9453100000.0,400000.0,56390600000.0,96139958.0,2979500000.0,211112600.0,211068700.0,32.40499649047852,29.48281021118164,-2.9221862792968767,-0.09017702810600507
11,0000006201-19-000053,AMERICAN AIRLINES GROUP INC.,201902,2019-07-25 00:00:00,6201,4512.0,aal,US,2019-06-30,2118000000.0,0.0,2296000000.0,18114000000.0,-5927000000.0,4386000000.0,1046122.0,0.0,3087000.0,61967000000.0,9850000000.0,330000000.0,45000000.0,0.01,1750000000.0,5000000.0,0.0,644000000.0,14515000000.0,0.0,5249000000.0,0.0,24855000000.0,0.0,792000000.0,0.0,489000000.0,0.0,1.49,1.49,0.0,1304000000.0,0.0,0.0,0.0,0.0,401000000.0,4091000000.0,0.0,0.0,220000000.0,579000.0,2105000000.0,275000000.0,0.0,1708000000.0,3200000000.0,61967000000.0,20123000000.0,41866000000.0,21222000000.0,3417000000.0,0.0,662000000.0,0.0,-271000000.0,10807000000.0,1153000000.0,9102000000.0,0.0,7818000000.0,0.0,8313000000.0,0.0,0.0,1367000000.0,-31000000.0,0.0,0.0,0.0,0.0,635000000.0,0.0,52816000000.0,34702000000.0,0.0,1514000000.0,11960000000.0,25000000.0,5088000000.0,0.0,-22000000.0,0.0,0.0,0.0,0.0,445587000.0,445008000.0,33.381995391845706,30.765705871582032,-2.616289520263674,-0.07837427000851965
12,0000006281-19-000115,ANALOG DEVICES INC,201903,2019-08-21 00:00:00,6281,3674.0,adi,US,2019-07-31,220230000.0,689976000.0,678099000.0,2538555000.0,-153673000.0,5060586000.0,0.0,0.0,446000.0,21566650000.0,2007058000.0,612164000.0,0.0,0.1667,1200000000.0,61569000.0,0.0,304722000.0,0.0,0.0,0.0,482332000.0,0.0,0.0,1606267000.0,2171029000.0,0.0,0.0,0.98,0.97,0.0,0.0,0.0,0.0,0.0,0.0,162825000.0,12247888000.0,997811000.0,0.0,27184000.0,0.0,4346377000.0,59871000.0,0.0,638305000.0,0.0,21566650000.0,1483680000.0,8292733000.0,0.0,0.0,0.0,362374000.0,0.0,-57168000.0,551085000.0,446726000.0,0.0,0.0,0.0,0.0,59800000.0,0.0,0.0,148055000.0,78000.0,1.0,471934.0,0.0,0.0,66613000.0,0.0,3759747000.0,1221192000.0,280102000.0,6821755000.0,1480143000.0,0.0,0.0,0.0,11790237000.0,0.0,0.0,0.0,0.0,373077000.0,369533000.0,109.5974105834961,106.35967559814449,-3.2377349853515653,-0.02954207556651092
13,0000006845-19-000022,"APOGEE ENTERPRISES, INC.",201902,2019-07-11 00:00:00,6845,3231.0,apog,US,2019-05-31,73017000.0,209338000.0,78712000.0,0.0,-34501000.0,150240000.0,79000.0,4710000.0,104000.0,1132239000.0,392789000.0,28956000.0,0.0,0.33,50000000.0,8843000.0,0.0,13069000.0,23081000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11102000.0,0.0,0.58,0.58,0.0,25864000.0,0.0,0.0,0.0,0.0,57926000.0,185237000.0,80967000.0,0.0,4987000.0,246000.0,161085000.0,2611000.0,0.0,77345000.0,0.0,1132239000.0,214905000.0,0.0,293309000.0,0.0,0.0,15443000.0,0.0,0.0,0.0,23041000.0,46780000.0,4768000.0,47924000.0,0.0,45003000.0,181000.0,85090000.0,78712000.0,0.0,0.0,0.0,0.0,0.0,16081000.0,0.0,0.0,317522000.0,0.0,360394000.0,355365000.0,1618000.0,12300000.0,0.0,484976000.0,0.0,0.0,0.0,0.0,26843000.0,26597000.0,42.75936050415039,41.52337265014648,-1.235987854003909,-0.028905667424187487
14,0000006885-19-000182,STAGE STORES INC,201903,2019-09-12 00:00:00,6885,5651.0,ssi,US,2019-07-31,155865000.0,0.0,76455000.0,757296000.0,0.0,425033000.0,0.0,0.0,0.0,1122046000.0,574557000.0,25418000.0,0.0,0.01,100000000.0,341000.0,0.0,202000.0,15765000.0,15765000.0,0.0,295204000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,106310000.0,0.0,0.0,0.0,150000.0,0.0,2225000.0,4123000.0,0.0,499001000.0,0.0,1122046000.0,312226000.0,0.0,323775000.0,5000000.0,0.0,-23934000.0,0.0,0.0,0.0,-23784000.0,321982000.0,35602000.0,460879000.0,0.0,21354000.0,202000.0,0.0,32213000.0,0.0,0.0,0.0,0.0,0.0,50138000.0,0.0,0.0,201928000.0,0.0,-196520000.0,381853000.0,653000.0,0.0,0.0,179823000.0,369000.0,942223000.0,5175000.0,43546000.0,28791000.0,28791000.0,0.8,0.8659999966621399,0.06599999666213985,0.08249999582767481
15,0000006951-19-000029,APPLIED MATERIALS INC /DE,201903,2019-08-22 00:00:00,6951,3674.0,amat,US,2019-07-31,2355000000.0,2373000000.0,341000000.0,2602000000.0,-137000000.0,7460000000.0,-3000000.0,30000000.0,3000000.0,18805000000.0,10042000000.0,3014000000.0,193000000.0,0.0,923753756.0,0.0,0.0,572000000.0,1430000000.0,1430000000.0,0.0,2005000000.0,5400000000.0,0.0,0.0,1253000000.0,15000000.0,0.0,0.61,0.61,0.27,544000000.0,0.0,0.0,0.0,0.0,128000000.0,3399000000.0,1557000000.0,0.0,211000000.0,0.0,1988000000.0,58000000.0,59000000.0,3539000000.0,0.0,18805000000.0,3785000000.0,0.0,5312000000.0,0.0,0.0,571000000.0,0.0,0.0,755000000.0,802000000.0,0.0,0.0,0.0,569000000.0,195000000.0,0.0,0.0,164000000.0,38000000.0,0.0,0.0,0.0,0.0,487000000.0,0.0,4115000000.0,1513000000.0,515000000.0,23880000000.0,3562000000.0,67000000.0,0.0,0.0,8116000000.0,0.0,10689000000.0,0.0,23096000000.0,937000000.0,929000000.0,46.56037063598633,45.676056671142575,-0.8843139648437557,-0.01899284633615594
16,0000006955-19-000020,ACTUANT CORP,201902,2019-07-01 00:00:00,6955,3590.0,atu,US,2019-05-31,126145000.0,202808000.0,0.0,188792000.0,-153552000.0,177584000.0,0.0,0.0,987000.0,1393156000.0,616209000.0,201334000.0,0.0,0.0,61457831.0,16374000.0,0.0,18618000.0,8227000.0,0.0,0.0,183365000.0,0.0,2325000.0,0.0,21101000.0,4411000.0,0.0,0.53,0.52,0.0,39929000.0,0.0,7255000.0,0.0,0.0,0.0,491499000.0,111901000.0,0.0,7309000.0,418000.0,183968000.0,0.0,0.0,167592000.0,0.0,1393156000.0,233563000.0,0.0,477559000.0,6250000.0,0.0,32418000.0,0.0,0.0,0.0,47360000.0,0.0,0.0,0.0,0.0,37293000.0,-13800000.0,52477000.0,47809000.0,-378000.0,0.0,0.0,0.0,0.0,44475000.0,0.0,278765000.0,89973000.0,0.0,1184749000.0,295266000.0,3091000.0,0.0,206000.0,607424000.0,0.0,785732000.0,20439434.0,617731000.0,61840000.0,61422000.0,23.835462188720705,24.20486526489258,0.3694030761718743,0.015498045443678509
17,0000007039-19-000182,TRECORA RESOURCES,201902,2019-08-08 00:00:00,7039,2911.0,trec,US,2019-06-30,11159000.0,30518000.0,5415000.0,81328000.0,0.0,58920000.0,0.0,440000.0,0.0,338633000.0,54271000.0,4325000.0,0.0,0.1,40000000.0,2472000.0,0.0,0.0,0.0,0.0,0.0,58806000.0,0.0,740000.0,0.0,16623000.0,4336000.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6081000.0,21798000.0,10565000.0,-91000.0,664000.0,0.0,39814000.0,1401000.0,32000.0,15295000.0,0.0,338633000.0,25030000.0,0.0,94191000.0,4194000.0,289000.0,2404000.0,0.0,-1208000.0,0.0,4276000.0,15197000.0,1190000.0,15197000.0,0.0,0.0,0.0,850000.0,1047000.0,284000.0,0.0,0.0,0.0,0.0,3951000.0,0.0,272856000.0,191528000.0,0.0,128278000.0,69371000.0,300000.0,0.0,2000.0,189957000.0,0.0,148676000.0,0.0,0.0,25091000.0,24696000.0,9.017999839782712,9.047999954223632,0.030000114440918324,0.003326692722766911
18,0000007084-19-000028,ARCHER-DANIELS-MIDLAND CO,201902,2019-08-01 00:00:00,7084,2070.0,adm,US,2019-06-30,3067000000.0,2433000000.0,1231000000.0,15593000000.0,-2130000000.0,0.0,2000000.0,0.0,0.0,42616000000.0,19548000000.0,2749000000.0,197000000.0,0.0,0.0,2588000000.0,350000000.0,347000000.0,367000000.0,0.0,0.0,15325000000.0,0.0,0.0,0.0,1305000000.0,0.0,0.0,0.42,0.42,0.131,0.0,0.0,0.0,0.0,0.0,602000000.0,858000000.0,972000000.0,90000000.0,36000000.0,0.0,5545000000.0,109000000.0,0.0,8294000000.0,0.0,42616000000.0,12602000000.0,10982000000.0,7701000000.0,12000000.0,24000000.0,238000000.0,3000000.0,13000000.0,0.0,274000000.0,837000000.0,97000000.0,1040000000.0,3587000000.0,1821000000.0,112000000.0,3128000000.0,1976000000.0,-2000000.0,0.0,0.0,0.0,0.0,286000000.0,0.0,25838000000.0,10245000000.0,0.0,18497000000.0,16297000000.0,0.0,4000000.0,0.0,18979000000.0,0.0,0.0,0.0,0.0,566000000.0,565000000.0,40.129920959472656,38.06643142700195,-2.0634895324707045,-0.0514202241901904
19,0000007789-19-000039,ASSOCIATED BANC-CORP,201902,2019-07-30 00:00:00,7789,6022.0,asb,US,2019-06-30,0.0,0.0,0.0,0.0,-59063000.0,1695715000.0,827000.0,0.0,0.0,33272628000.0,0.0,557078000.0,27776000.0,0.01,250000000.0,1752000.0,0.0,128972000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2324000.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176019000.0,0.0,0.0,19017000.0,1492000.0,93915000.0,213619000.0,0.0,0.0,123228000.0,33272628000.0,0.0,0.0,796403000.0,0.0,0.0,84661000.0,0.0,0.0,0.0,103678000.0,48114000.0,2888000.0,60501000.0,0.0,591976000.0,59476000.0,0.0,447286000.0,0.0,1.0,750000.0,264458.0,0.0,0.0,0.0,0.0,432058000.0,0.0,2288909000.0,309457000.0,6134000.0,3290593000.0,0.0,3899794000.0,0.0,29372835000.0,12554448.0,284235000.0,163672000.0,162180000.0,20.905834579467765,20.616840744018553,-0.28899383544921875,-0.013823597156606606
20,0000008063-19-000034,ASTRONICS CORP,201902,2019-08-08 00:00:00,8063,3728.0,atro,US,2019-06-30,42964000.0,177102000.0,0.0,88475000.0,-12421000.0,0.0,0.0,0.0,0.0,767263000.0,354648000.0,17106000.0,0.0,0.0,0.0,344000.0,0.0,7754000.0,26050000.0,25402000.0,0.0,0.0,0.0,0.0,0.0,0.0,4128000.0,0.0,0.21,0.2,0.23800000000000002,0.0,3000000.0,81000.0,5643000.0,255000.0,29790000.0,124998000.0,40363000.0,0.0,2104000.0,0.0,197769000.0,-1225000.0,0.0,142853000.0,0.0,767263000.0,119590000.0,0.0,122113000.0,170000.0,0.0,6726000.0,0.0,0.0,0.0,10573000.0,22100000.0,1579000.0,25811000.0,0.0,45189000.0,0.0,51054000.0,50594000.0,0.0,0.0,0.0,0.0,0.0,17587000.0,0.0,205864000.0,117389000.0,27700000.0,0.0,189098000.0,0.0,0.0,0.0,474966000.0,305000.0,292297000.0,0.0,0.0,33175000.0,32665000.0,30.905999755859376,27.013999938964844,-3.8919998168945327,-0.12593023515301946
21,0000008670-19-000021,AUTOMATIC DATA PROCESSING INC,201902,2019-08-09 00:00:00,8670,7374.0,adp,US,2019-06-30,125500000.0,2439300000.0,1759000000.0,1417600000.0,-257300000.0,1183200000.0,0.0,54900000.0,0.0,41887700000.0,34342300000.0,6796200000.0,0.0,0.1,1000000000.0,63900000.0,0.0,0.0,563400000.0,0.0,0.0,2020500000.0,0.0,0.0,31600000.0,943400000.0,0.0,0.0,0.0,0.0,0.0,721100000.0,0.0,0.0,0.0,0.0,0.0,2323000000.0,1478200000.0,0.0,54200000.0,0.0,3617900000.0,0.0,0.0,0.0,0.0,41887700000.0,32627700000.0,0.0,2002200000.0,0.0,0.0,475500000.0,0.0,0.0,0.0,633300000.0,0.0,0.0,0.0,519600000.0,934400000.0,0.0,0.0,798700000.0,0.0,1.0,300000.0,0.0,0.0,0.0,0.0,2181800000.0,764200000.0,0.0,17500600000.0,3498700000.0,0.0,24859100000.0,0.0,5399900000.0,0.0,36487800000.0,204500000.0,13090500000.0,0.0,0.0,163.63382568359376,165.42898254394532,1.7951568603515682,0.010970573185905498
22,0000008858-19-000035,AVNET INC,201902,2019-08-15 00:00:00,8858,5065.0,avt,US,2019-06-30,1864342000.0,3168369000.0,413696000.0,886062000.0,-304039000.0,1573005000.0,0.0,53499000.0,0.0,8564556000.0,6876336000.0,546105000.0,0.0,1.0,300000000.0,104038000.0,0.0,0.0,0.0,0.0,0.0,0.0,1729341000.0,0.0,231463000.0,12313000.0,0.0,0.0,0.0,0.0,0.0,198969000.0,0.0,0.0,0.0,0.0,0.0,876728000.0,0.0,0.0,123765000.0,0.0,408779000.0,0.0,17257000.0,3008424000.0,0.0,8564556000.0,2578576000.0,0.0,1419922000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215801000.0,0.0,0.0,425585000.0,0.0,0.0,0.0,0.0,0.0,153438000.0,0.0,1253668000.0,452171000.0,0.0,2767469000.0,0.0,0.0,0.0,0.0,4140473000.0,0.0,4424083000.0,0.0,0.0,0.0,0.0,41.006375885009774,40.77746810913086,-0.2289077758789091,-0.005582248392806357
